Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
9m678PeuzwYamIf6sysUHg,Marliave,"French,Italian,Cocktail Bars",$31-60,$31-60,,48,74,174,479,392,Yes,Full Bar,,No,,,Yes,Street,,No,Yes,,No,,Classy,Casual,Average,
DImi8qeCP-OUaLA8L2QR6A,New Jumbo Seafood Restaurant,"Seafood,Chinese",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,No,No,Street,,Yes,Yes,No,No,,Casual,Casual,Average,
qbeheL7TS1oJMlUnJo1aPQ,Il Casale,Italian,$31-60,$31-60,,18,44,38,81,90,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,,Casual,Average,
_VEQpntwiMLUbNPLvxvwzA,Ruth’s Chris Steak House,Steakhouses,Above $61,Above $61,,0,0,0,0,0,Yes,Full Bar,,No,,,No,,,No,Yes,,Free,,"Classy, Upscale",Dressy,Average,
UGJpzdTghcvMekA1ML0-kA,Tangierino,"Moroccan,French,Lounges",$31-60,$31-60,,54,63,82,197,158,Yes,Full Bar,,Yes,,,No,"Valet, Street",,Yes,Yes,,Free,,Romantic,Casual,Average,DJ
meznC0oLcwFAeD_3AIyLRw,Figs by Todd English,"Pizza,Italian,American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,No,No,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,
E6nIsqfg-1Qsp94wkDHzsg,Outback Steakhouse,Steakhouses,$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Garage, Street",,Yes,Yes,,Free,,Casual,Casual,Average,
uCJqYrBSITSrJBHyMPznwg,The Bell In Hand,"Lounges,Pubs,Music Venues",Moderate,Moderate,,0,0,0,0,0,Yes,Full Bar,,,,,No,"Garage, Street, Validated",,,No,,Free,,Casual,,Average,Live
PMnU-trprMtR9p3V_9uXLw,Southern Kin Cookhouse,"Southern,Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,No,Yes,"Garage, Street",,Yes,Yes,Yes,Free,,"Casual, Trendy",Casual,Average,
Ruq91rmQNweZ78TzKylQMg,Union Oyster House,"Seafood,Bars",$11-30,$11-30,,257,361,545,633,527,Yes,Full Bar,,No,,,No,"Garage, Street",,No,Yes,,No,,Touristy,Casual,Average,
_nPHDeWqacE5BVbGvRgIrg,Boloco,American (New),Under $10,Under $10,,3,11,22,41,37,Yes,No,,Yes,,,Yes,Street,,Yes,No,,Free,,Casual,Casual,Average,
tqq3nQ9Gg0sNNrlndZlSHw,Papagayo,"Mexican,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Garage, Street",,Yes,Yes,,No,,Casual,Casual,Loud,
l6Ye6vPB6ZPZbxVxMMgvPQ,Top Mix Bar & Kitchen,"Cocktail Bars,American (New)",$11-30,$11-30,,0,0,0,0,0,Yes,,,,,,,,,Yes,Yes,,,,,,Average,
sYhfhua7GWiGLQkIUP_TWQ,Earls Kitchen + Bar,"American (New),Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,No,Yes,"Garage, Street",,Yes,Yes,Yes,Free,,"Casual, Trendy",Casual,Average,
YwtjSs7ul_6RX1WnWglxIA,River Bar,"Cocktail Bars,Gastropubs,American (New)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,No,Yes,"Garage, Street",,Yes,No,Yes,Free,,Casual,Casual,Average,
RF2YhEH__pDNKAhMwZmCUA,Anthem Kitchen and Bar,"American (New),Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Garage, Street, Validated",,Yes,Yes,,Free,,Casual,Casual,Average,
qpg8rxHXMDl8FKLxdxdl3A,McCormick & Schmick’s Seafood & Steaks,"Seafood,American (Traditional),Steakhouses",$11-30,$11-30,,111,90,63,63,32,Yes,Full Bar,,No,,,Yes,,,Yes,Yes,,No,,Touristy,Casual,Average,
y2w6rFaO0XEiG5mFfOsiFA,Neptune Oyster,"Seafood,Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,No,No,,No,,Casual,Casual,Average,
1C32E52HmhRC3GNwkX2nZg,Moonshine 152,"American (New),Asian Fusion",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
tW09hLpf18PYJxNAvNoCqA,Antico Forno,"Italian,Pizza",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Street, Validated",,Yes,Yes,,Free,,Casual,Casual,Loud,
JdVlUaXM9aZQ68tjgonszw,L’osteria,"Italian,Coffee & Tea",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,,Casual,Average,
wdKi_CGVXIgdah5kaUsZKA,Mother Anna’s Restaurant,Italian,$11-30,$11-30,,52,40,44,78,75,Yes,Full Bar,,Yes,,,Yes,"Garage, Street, Validated",,Yes,Yes,,No,,Casual,Casual,Average,
P1LZAzIiVCd0AuJ3rmjDMQ,BOND Restaurant and Lounge,"Lounges,American (New)",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,,,,No,"Valet, Garage, Street",,No,Yes,,Free,,Trendy,Dressy,Average,
J4UsOYwRprbJXIVB_NcldQ,Loconte’s Italian Cuisine,"Italian,Wine Bars,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,Yes,No,,Casual,Casual,Average,
lX2o7nBmXkTJiojIqVO6PQ,Sabatino’s Italian Kitchen,"Italian,Pizza,Sandwiches",Under $10,Under $10,,37,15,12,54,72,Yes,No,,Yes,,,No,Street,,Yes,No,,No,,Casual,,Quiet,
wOw3Hb1ImlNBc0-eI13Dhw,Bamboo Thai Restaurant,"Thai,Bars,Salad",$11-30,$11-30,,19,29,50,129,124,Yes,Beer & Wine Only,,Yes,,,No,"Street, Validated",,Yes,Yes,,Free,,Casual,Casual,Average,
B0ZTztL-vjgm2Tc1ZxSbHg,Stockyard Restaurant,"Bars,Seafood,Steakhouses",$31-60,$31-60,,20,34,31,71,107,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,No,,Casual,Casual,Average,
1exJzD7WPZzJ72JRG1CGWg,Lone Star Taco Bar,"Bars,Tacos",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,No,,No,,Hipster,Casual,Average,
ck8Id2EaJ20Alj0N8UMvBQ,Barcelona Wine Bar,"Tapas/Small Plates,Spanish,Wine Bars",$31-60,$31-60,,45,43,81,264,716,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,Yes,Free,,Trendy,Casual,Loud,
FioFvBhgVPV2dZW3mxjxQQ,Lulu’s Allston,"American (New),Sports Bars",$11-30,$11-30,,20,34,69,123,149,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
rK-fgI2_-x0T4lxwF9L4Ww,The Publick House,"Pubs,American (Traditional),Belgian",$11-30,$11-30,,58,100,162,425,387,Yes,Full Bar,,No,,,Yes,Street,,No,No,,Free,,Casual,Casual,Loud,
c3V_1Dakp0UspkZayn0AjQ,Loui Loui,"Southern,Cajun/Creole,Seafood",$11-30,$11-30,,9,10,13,36,78,Yes,No,,Yes,,No,No,Street,,Yes,Yes,Yes,No,,"Casual, Trendy",Casual,Average,
knIq-vPHJGFC0UzAtIFESw,The Abbey,American (New),$11-30,$11-30,,13,26,50,152,189,Yes,Full Bar,,No,,,Yes,Street,,Yes,No,,Free,,Casual,Casual,Average,
vVF-M6yj3uUljHFZ_WXeiw,Oppa Sushi,"Sushi Bars,Japanese,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,No,No,"Garage, Street, Private Lot",,Yes,Yes,No,No,,Casual,Casual,Average,
_vsgjhqs356JqeAPsP6XOQ,The Washington Square Tavern,"Bars,American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,No,No,,No,,Casual,Casual,Average,
zmZ3HkVCeZPBefJJxzdJ7A,Le’s Vietnamese Resturant,"Vietnamese,Seafood,Noodles",Under $10,Under $10,,44,37,87,263,196,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,Yes,No,,Casual,Casual,Average,
aqNd1SaHTNGATIOy24sYxQ,Carlo’s Cucina Italiana,"Italian,Desserts,Salad",$11-30,$11-30,,26,23,35,177,354,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
QXdEeuL4cA_KcGMrh5o5rA,Sakanaya,"Seafood,Japanese,Seafood Markets",$11-30,$11-30,,0,0,0,0,0,Yes,No,,Yes,,No,No,Street,,Yes,No,,No,,Casual,Casual,Quiet,
-iOW4FIS61TbvsWH-vmhEQ,Ariana Restaurant,Afghan,$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,,Casual,Quiet,
Vco3twYE0sD4kb0O1_PLoQ,Shiraz Persian Cuisine,"Middle Eastern,Persian/Iranian",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Private Lot,,Yes,Yes,,No,,Casual,Casual,Quiet,
435AFqUlpfkv2MvSHw6S8A,Coolidge Corner Clubhouse,"Sports Bars,American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Loud,
9Jiax4wZ94ZmMcMzmpdvJA,Victoria Seafood Restaurant,"Chinese,Seafood",$11-30,$11-30,,51,16,60,97,56,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
0f7KLXeVKJ1dZg5OqIGtPw,Upper Crust Pizzeria,"Pizza,Italian",$11-30,$11-30,,58,50,68,90,57,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,No,Yes,Free,,Casual,Casual,Average,
djb7jPPMwVOBfCE5K7Ilog,Hops N Scotch,"Bars,American (New)",$11-30,$11-30,,42,58,80,116,106,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,Free,,Casual,Dressy,Average,
1iY5q6spBS_DNWyemY829A,Henrietta’s Table,"American (New),Breakfast & Brunch",$31-60,$31-60,,40,104,142,289,171,Yes,Full Bar,,No,,,Yes,Garage,,Yes,Yes,,Free,,,Casual,Average,
psmBt1lYNosvPbzlSbmJFA,Basta Pasta Trattoria,"Italian,Pizza",$11-30,$11-30,,0,0,0,0,0,Yes,No,,Yes,,,No,Street,,Yes,No,No,No,,Casual,Casual,Average,
uSM_sCp22BJWeatTDl6ODA,Harvest,"American (New),Seafood,Desserts",$31-60,$31-60,,35,79,91,143,128,Yes,Full Bar,,Yes,,,Yes,"Valet, Street",,No,Yes,Yes,Free,,"Classy, Upscale",Dressy,Average,
aVS9DWS7GUcF6oExGmYnlg,The Sinclair,"Music Venues,American (New),American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Garage, Street, Private Lot, Validated",,Yes,Yes,,Free,,Hipster,Casual,Average,Live
pvlM--HZY1a8SqMXiwEz1A,Border Café,"Tex-Mex,Cajun/Creole,Mexican",$11-30,$11-30,,104,141,348,642,523,Yes,Full Bar,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Loud,
yoem-KW_Jln0LqsdLwLeUQ,Grafton Street,"American (Traditional),Pubs",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Street, Private Lot, Validated",,Yes,Yes,,Free,,Casual,Casual,Average,
UtS03G9OuSNuEtm-lHcf7w,The Cellar,"American (New),Bars",$11-30,$11-30,,6,19,41,111,79,No,Full Bar,,,,,No,Street,,Yes,No,,Free,,Casual,Casual,Average,
9qCjkJvgnpzOjKLodDEMxw,Moody’s Falafel Palace,"Middle Eastern,Falafel,Vegetarian",Under $10,Under $10,,80,68,77,196,110,No,No,,No,,,No,Street,,Yes,No,No,No,,Casual,Casual,Average,
HxegWRjhi7m73mXRI8qQIg,Rangzen Tibetan Place,"Asian Fusion,Bars",$11-30,$11-30,,5,30,68,151,117,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,No,,No,,Casual,Casual,Quiet,
GLP0_Rs2y4Q0Gxk7r1dddQ,ZuZu,"Mediterranean,Breakfast & Brunch,American (New)",$11-30,$11-30,,33,33,46,105,83,Yes,Full Bar,,Yes,,,Yes,"Street, Validated",,Yes,Yes,,Free,,"Hipster, Casual",Casual,Average,
PsUYM5VJ4rSKCsOYyrWxbQ,City Streets Restaurant,"Sports Bars,American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,No,Yes,Private Lot,,Yes,Yes,Yes,Free,,"Casual, Intimate",Casual,Average,
vcqSLjbljnkTqXKOgi9q1Q,The Farm Grill & Rotisserie,"Greek,Mediterranean",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,No,Yes,No,,Casual,Casual,Average,
jXPU_jCpEQ3Ni8MHqRs1Wg,Comella’s,"Italian,Chicken Wings,Pizza",$11-30,$11-30,,16,8,19,45,32,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,No,,No,,Casual,,Average,
5oUOPgwX1fyfCpoy2oqKLA,Delfino Restaurant,Italian,$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,No,No,,No,,Romantic,Casual,Average,
gvdQwBeV6bOCOvTKxVmTcg,Tempo,"Bars,American (Traditional)",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,,Casual,Average,Background
X0-4QinxqDweGOWMKsb9bA,Bison County BBQ Bar & Grille,"Barbeque,Sports Bars,Chicken Wings",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Casual,,Average,
JHYOusJBXe4wW33oJoEtzw,Margaritas Mexican Restaurant,"Mexican,Bars",$11-30,$11-30,,88,81,115,71,31,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
mlUbNTKVrPc4UbesjY7mbQ,Not Your Average Joe’s,American (New),$11-30,$11-30,,22,27,46,62,57,Yes,Full Bar,,Yes,,,No,"Street, Private Lot",,Yes,Yes,,Free,,Casual,Casual,Average,
HAF1_8TLXzea-2aXidpKNQ,Pasha,"Turkish,Mediterranean",$11-30,$11-30,,12,20,25,66,53,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,,Casual,Average,
daDNnPM1VGJzymFw90-CDA,Biagio Ristorante & Bar,"Italian,Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,No,,,Casual,Average,Background
8XH25e94Tf8UNzSr-OWHeQ,Tryst,American (New),$11-30,$11-30,,19,30,47,104,75,Yes,Full Bar,,Yes,,,No,Street,,No,Yes,,No,,,Casual,Average,
eqr5t-Py3oOhIuukz27dEA,Applebee’s Grill + Bar,"Sports Bars,Burgers,American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
TbidSY0CNknTW1WEqK33WA,Scutra Restaurant,"Modern European,American (New),Seafood",$31-60,$31-60,,14,26,23,43,72,Yes,Full Bar,,No,,,No,Private Lot,,No,Yes,,No,,,Casual,Average,
Of0s9Bp9sxRIrfS6_WsuXw,Demo’s,"Greek,Mediterranean",Under $10,Under $10,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
IGbKO5xKMZrTsPtmDYaLwQ,Chateau Restaurant,Italian,$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Private Lot,,Yes,Yes,,No,,Casual,Casual,Average,
nlZghMJ6hcu_b7gzwzYdxQ,Sofia Italian Steakhouse,"Steakhouses,Italian",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Private Lot,,Yes,Yes,,No,,,Casual,Average,
frTp4FF8-pxlAUREcMpStA,Fuji Steak House,"Japanese,Steakhouses,Sushi Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
zSP2I7sQR3rWQUdo4LBNVQ,Dedham Square Coffeehouse,"Coffee & Tea,Bars,Internet Cafes",Inexpensive,Inexpensive,,5,5,11,18,16,Yes,Beer & Wine Only,,No,,,Yes,"Street, Private Lot",,Yes,Yes,,Free,,Casual,,Quiet,
l7iATT41a30rJDp5U_EmQg,Rincon Caribeno Restaurant,"Cocktail Bars,Dominican,Latin American",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Casual,Casual,Quiet,
OwpCK2Krj4qxvsA5672HOQ,Fairmount Grille,"American (New),American (Traditional),Bars",$11-30,$11-30,,14,18,19,41,61,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Casual,Casual,Average,Live
loRoCo53b30zgHZ_mIMatQ,Amrheins,"American (New),Bars",$11-30,$11-30,,39,51,85,127,113,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,No,,Casual,Casual,Average,
UHSgwkHN_4IxeHa3pcb5Pg,Nebo Cucina & Enoteca,"Italian,Gluten-Free,Pizza",$31-60,$31-60,,48,53,69,71,100,Yes,Full Bar,,No,,,Yes,"Valet, Garage, Validated",,Yes,Yes,,Free,,Trendy,,Loud,
OkWWg21Tln2nd7wBgURtJQ,Durgin-Park Restaurant,"Seafood,Steakhouses,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
xZ22_0eJOgaiKqIhoSHrPw,Bostonia Public House,"American (New),Music Venues,Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,No,Yes,"Garage, Street",,Yes,Yes,Yes,Free,,,Casual,Average,Live
ttbt7fmqbU4YdT1jPXiBwg,Moulton’s Seafood Restaurant,Seafood,$11-30,$11-30,,9,10,10,38,50,Yes,Full Bar,,No,,,No,"Street, Private Lot",,Yes,Yes,,No,,Casual,Casual,Average,
vQNe7TD_QDpGtGbkaAqi8Q,Bacco,"Italian,Wine Bars,Southern",$11-30,$11-30,,23,37,46,100,92,Yes,Full Bar,,Yes,,,No,,,Yes,Yes,,No,,Romantic,Casual,Average,
Mgkv-Kr_tcANDPYnV4PqQw,Ristorante Euno,"Italian,Mediterranean,Pasta Shops",$31-60,$31-60,,29,15,19,42,120,Yes,Beer & Wine Only,,No,,,No,Street,,No,Yes,,No,,"Intimate, Romantic",Casual,Average,
ndO6w5EoVZI1-e_Adl-ltw,Benevento’s,"Italian,Pizza",$11-30,$11-30,,30,31,50,128,156,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
wVHoVfbaIPvlP1sCzOuaZg,La Galleria 33,Italian,$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,,Casual,Average,
pOEHpNa4B6oesmr5ltiv8A,Al Dente Restaurant,"Italian,Bakeries",$11-30,$11-30,,55,64,101,317,419,Yes,Beer & Wine Only,,Yes,,,No,,,Yes,Yes,,No,,Casual,Casual,Average,
PBt_sana68L9ZjgQzeJ7zw,Ristorante Fiore,"Italian,Wine Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Valet, Street, Validated",,Yes,Yes,,Free,,,Casual,Average,
pW-9K9V5KQWxd-teAtcjlQ,Pagliucas,Italian,$11-30,$11-30,,54,41,51,70,70,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Loud,
55PGG2U1z-q7Z694F-B-_w,Bricco,Wine Bars,Pricey,Pricey,,55,74,112,210,361,Yes,Full Bar,,,,,No,"Valet, Street",,,Yes,,Free,,,,Average,
6t1Y9dPhbGLEpGEecV9wdA,Bistro 5,"Italian,Modern European",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Romantic,Casual,Average,
whrxNVNwY3BLb2SYPWsX0A,Salvatore’s Restaurant,"Italian,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,,Casual,Average,
mI7qw74vuPgf4LJWH3M2oA,Vintage Restaurant and Lounge,"Lounges,American (New)",$11-30,$11-30,,24,19,21,28,37,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Classy,Casual,Quiet,Background
PAdsmCb-T8yzrLf137yCVg,Finn McCool’s Boston,Pubs,Moderate,Moderate,,3,1,4,1,11,Yes,Full Bar,,,,,No,,,,No,,,,Casual,,,
tFjWlJCDpANBRAPSMc5Cew,Bastille Kitchen,"Bars,French",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,,,Yes,Yes,Yes,Free,,"Trendy, Classy",Dressy,Average,Background
CWqL2TEq_V9tipCj-X-GoQ,Granary Tavern,"American (New),Pubs",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Garage, Street",,Yes,Yes,,Free,,Casual,Casual,Average,
6H313b3O6gTULpR7fV2FsQ,Meritage Restaurant,"American (New),Seafood,Wine Bars",Above $61,Above $61,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Garage, Validated",,No,Yes,,Free,,"Romantic, Upscale",Dressy,Average,
a1MOjLJXAIVmYZ2cG5gKCw,Sportello,Italian,$31-60,$31-60,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Trendy,Casual,Average,
vxkOVmhReRa4XYfAT1hMxA,Villa Francesca,"Italian,Wine Bars,Seafood",$31-60,$31-60,,60,46,44,71,65,Yes,Full Bar,,No,,,No,,,Yes,Yes,,No,,,Casual,Average,Background
oz882XuZCxajKo64Opgq_Q,Barking Crab,"Seafood,Beer Bar",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,"Garage, Street",,Yes,Yes,,No,,Casual,Casual,Loud,
VDmV3tPEQqFxzqQJRJazNw,Legal Sea Foods,"Seafood,Bars,Salad",$31-60,$31-60,,101,125,197,397,323,Yes,Full Bar,,No,,,Yes,"Garage, Street, Validated",,Yes,Yes,,No,,Touristy,Casual,Average,
Hnx34LxtfW4XV0gZ18zMBg,Vinoteca di Monica,"Italian,Wine Bars,Seafood",$31-60,$31-60,,34,45,49,97,109,Yes,Full Bar,,No,,,No,"Valet, Street, Validated",,Yes,Yes,,Free,,,Casual,Average,
LGNpVs8cRBllNVml8wI0Vg,Limoncello Ristorante,"Italian,Wine Bars",$11-30,$11-30,,49,40,51,151,277,Yes,Beer & Wine Only,,Yes,,,No,"Street, Validated",,Yes,Yes,,Free,,,Casual,Average,
cCAAA6871M0K_EHZidkKmQ,The Daily Catch,"Seafood,Italian,Cocktail Bars",$31-60,$31-60,,111,79,59,65,75,Yes,Full Bar,,No,,,Yes,"Garage, Street",,Yes,Yes,,No,,,Casual,Average,
JzW-uJwi7cGd0c_VS8wvBQ,Ristorante Saraceno,"Italian,Seafood,Desserts",$11-30,$11-30,,48,48,60,121,143,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Intimate,Casual,Average,
kP1b-7BO_VhWk_0tvuA_tw,Carmelina’s,Italian,$11-30,$11-30,,37,52,106,266,767,Yes,Beer & Wine Only,,Yes,,,Yes,"Valet, Garage, Street, Validated",,Yes,Yes,,No,,Casual,Casual,Average,
uXOVFQraz1va1TrtgiqYTg,The Daily Catch,"Italian,Seafood,Coffee & Tea",$11-30,$11-30,,103,90,156,422,680,No,Beer & Wine Only,,No,,No,No,Street,,Yes,No,,No,,Casual,Casual,Average,
Pm-PU6CldkzBm4ci4r66LQ,The Reef,"Bars,American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,,,Yes,No,,No,,,Casual,Average,
m5jCNOs6QG75lkzLhMMryA,Artu,"Italian,Diners,Wine Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,No,No,Street,,Yes,Yes,,Free,,,,Average,
uBXOc3uxpCSmd22P6LOeew,Mamma Maria,Italian,$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Valet,,No,Yes,,No,,Classy,Dressy,Average,
M0Z57IL0dlzpU6QCez0wGA,North Street Grille,"Breakfast & Brunch,American (New)",$11-30,$11-30,,48,48,83,229,343,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
T4nEmSQNeTKnNgcHpnvH0A,Panza,"Italian,Wine Bars,Salad",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
OFHWBXs5-UyEYf0-MrFDUw,Chart House,"Seafood,Steakhouses,Venues & Event Spaces",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Valet,,Yes,Yes,,Free,,,Casual,Average,
2u_w3rthRzR2uEihW5BC4A,Giacomo’s Ristorante,"Italian,Wine Bars,Seafood",$11-30,$11-30,,0,0,0,0,0,No,Beer & Wine Only,,No,,,No,Street,,Yes,No,No,No,,Casual,Casual,Loud,
SvMVqEWYJXPOr6vJlRYnrg,Joe’s American Bar & Grill,"Burgers,American (Traditional),Cocktail Bars",$11-30,$11-30,,91,93,98,102,81,Yes,Full Bar,,Yes,,No,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,
ZZoP396jgh6zK7PdZbHfPg,Cantina Italiana,Italian,$11-30,$11-30,,27,39,63,120,193,Yes,Beer & Wine Only,,No,,,No,"Valet, Street, Validated",,Yes,Yes,,Free,,Casual,Casual,Average,
boK3cyDPLmwNUV97doMCNA,Strega,Italian,$31-60,$31-60,,52,67,82,125,129,Yes,Beer & Wine Only,,Yes,,,No,"Valet, Garage, Street",,Yes,Yes,,Free,,,Casual,Average,
paMwLc8H3QUaGTkBteUT9g,La Summa,"Italian,Desserts,Salad",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,,Casual,Quiet,
4jkGZhbMPUg3Talazishtg,Strega Waterfront,Italian,$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,"Valet, Garage, Street",,Yes,Yes,,Free,,"Classy, Upscale",Dressy,Average,
3IRA159ZbwTAEL3WqcZZiA,MJ O’Connor’s,"American (Traditional),Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Garage,,Yes,Yes,,Free,,Casual,Casual,Average,
UYEP_G4fYVxasowdgd5Icg,Legal Test Kitchen,"American (New),Seafood,Cocktail Bars",$11-30,$11-30,,78,122,166,223,149,Yes,Full Bar,,No,,No,Yes,"Garage, Street, Validated",,Yes,Yes,,No,,Trendy,Casual,Average,
